Candidatura;Provincia;Candidatos;Nombre y Apellidos;twitter;web;facebook
;Jaén;1;María Ángeles Adán de la Paz;;;
;La Rioja;1;María Luisa Alonso García;;;
;Las Palmas;1;Saúl Ramírez Freire;;;
;León;1;Justo Fernández González;;;
;Madrid;8;Albert Rivera Díaz;;;
;;;Marcos de Quinto Romero;;;
;;;Laura Sara Giménez Giménez;;;
;;;Edmundo Bal Francés;;;
;;;Patricia-Isaura Reyes Rivera;;;
;;;Francisco de la Torre Díaz;;;
;;;Miguel Ángel Gutiérrez Vivas;;;
;;;Roberto Hernández Blázquez;;;
;Málaga;2;Guillermo Díaz Gómez;;;
;;;Irene Rivera Andrés;;;
;Murcia;2;Miguel Ángel Garaulet Rodríguez;;;
;;;José Luis Martínez González;;;
;Palencia;1;Enrique Víctor Rivero Ortega;;;
;Pontevedra;1;Beatríz María Pino Ocampo;;;
;Salamanca;1;José Antonio Mirón Canelo;;;
;Santa Cruz de Tenerife;1;Melisa Rodríguez Hernández;;;
;Segovia;1;Eduardo Calvo García;;;
;Sevilla;2;Pablo Emérito Cambronero Piqueras;;;
;;;María Virginia Millán Salmerón;;;
;Tarragona;1;Sergio del Campo Estaún;;;
;Teruel;1;Joaquín Francisco Moreno Latorre;;;
;Toledo;1;Juan Carlos Girauta Vidal;;;
;Valencia / València;3;María Muñoz Vidal;;;
;;;Vicente Ten Oliver;;;
;;;María Amparo Moya Sanz;;;
;Valladolid;1;Soraya Mayo Alonso;;;
;Zamora;1;José Antonio Bartolomé Cachón;;;
;Zaragoza;1;Rodrigo Gómez García;;;
PODEMOS-IU-EQUO - UNIDAS PODEMOS;;;;@ahorapodemos;;
;Alicante / Alacant;2;Txema Guijarro García;;;
;;;María Teresa Pérez Díaz;;;
;Araba / Áava;1;Juan Antonio López de Uralde Garmendia;;;
;Asturias;1;Sofía Fernández Castañón;;;
;Bizkaia;2;Roberto Uriarte Torrealday;;;
;;;Miren Edurne Gorrochategui Azurmendi;;;
;Cádiz;2;Noelia Vera Ruiz Herrera;;;
;;;Juan Antonio Delgado Ramos;;;
;Castellón / Castelló;1;Marisa Saavedra Muñoz;;;
;Córdoba;1;María Martina Velarde Gómez;;;
;Gipuzkoa;1;Pilar Garrido Gutierrez;;;
;Granada;1;Pedro Antonio Honrubia Hurtado;;;
;Huelva;1;Alejandro García Orta;;;
;Illes Balears;2;Antonia Jover Diaz;;;
;;;Lucía Miriam Muñoz Dalda;;;
;Las Palmas;2;María Victoria Rosell Aguilar;;;
;;;María del Carmen Pita Cárdenes;;;
;Madrid;6;Pablo Iglesias Turrión;;;
;;;Irene Montero Gil;;;
;;;Enrique Santiago Romero;;;
;;;Gloria Elizo Serrano;;;
;;;Rafael Mayoral Perales;;;
;;;María Mercedes Pérez Merino;;;
;Málaga;2;Alberto Garzón Espinosa;;;
;;;Eva García Sempere;;;
;Murcia;1;Javier Sánchez Serna;;;
;Navarra;1;Ione Belarra Urteaga;;;
;Santa Cruz de Tenerife;1;Alberto Rodríguez Rodríguez;;;
;Sevilla;2;María Salud Márquez Guerrero;;;
;;;Isabel Franco Carmona;;;
;Valencia / València;2;Héctor Illueca Ballester;;;
;;;Roser Maestro Moliner;;;
;Zaragoza;1;Pablo Echenique Robba;;;
VOX - VOX;;;;@vox_es;;
;Alicante / Alacant;1;Manuel Mestre Barea;;;
;Almería;1;Rocío de Meer Méndez;;;
;Asturias;1;José María Figaredo Ávarez-Sala;;;
;Badajoz;1;Víctor Manuel Sánchez del Real;;;
;Barcelona;1;Ignacio Garriga Vaz de Concicao;;;
;Cádiz;1;Agustín Rosety Fernández de Castro;;;
;Ciudad Real;1;Ricardo Chamorro Delmo;;;
;Córdoba;1;José Ramírez del Río;;;
;Granada;1;Macarena Olona Choclán;;;
;Illes Balears;1;Magdalena Margarita Contestí Rosselló;;;
;Madrid;5;Santiago Abascal Conde;;;
;;;Javier Ortega Smith-Molina;;;
;;;Iván Espinosa de los Monteros de Simón;;;
;;;María de la Cabeza Ruiz Solás;;;
;;;Carla Toscano de Balbín;;;
;Málaga;1;Patricia Rueda Perelló;;;
;Murcia;2;Lourdes Méndez Monasterio;;;
;;;Joaquín Robles López;;;
;Sevilla;1;María de los Reyes Romero Vilches;;;
;Toledo;1;Manuel Mariscal Zabala;;;
;Valencia / València;2;Ignacio Gil Lázaro;;;
;;;Cristina Esteban Calonje;;;
;Valladolid;1;Pablo Sáez Alonso-Muñumer;;;
;Zaragoza;1;Pedro Fernández Hernández;;;
ERC-SOBIRANISTES - ESQUERRA REPUBLICANA DE CATALUNYA-SOBIRANISTES;;;;@Esquerra_ERC;;
;Barcelona;8;Oriol Junqueras i Vies;;;
;;;Gabriel Rufián Romero;;;
;;;Carolina Telechea Lozano;;;
;;;Joan Josep Nuet Pujals;;;
;;;Maria Carvalho Dantas;;;
;;;Gerard Gómez del Moral i Fuster;;;
;;;Marta Rosique i Saltor;;;
;;;Joan Capdevila i Esteve;;;
;Girona;3;Montserrat Bassa Coll;;;
;;;Joan Margall Sastre;;;
;;;Laia Cañigueral Olivé;;;
;Lleida;2;Xavier Eritja i Ciuró;;;
;;;Inés Granollers i Cunillera;;;
;Tarragona;2;Jordi Salvador i Duch;;;
;;;Norma Pujol i Farré;;;
ECP-GUANYEM - EN COMÚ PODEM - GUANYEM EL CANVI;;;;;;
;Barcelona;6;Jaume Asens Llodrà;;;
;;;Aina Vidal Saez;;;
;;;María del Mar García Puig;;;
;;;Gerardo Pisarello Prados;;;
;;;Joan Miquel Mena Arca;;;
;;;Maria Freixanet Mateo;;;
;Tarragona;1;Ismael Cortés Gómez;;;
JxCAT-JUNTS - JUNTS PER CATALUNYA-JUNTS;;;;@JuntsXCat;;
;Barcelona;3;Jordi Sànchez Picanyol;;;
;;;Laura Borràs Castanyer;;;
;;;Míriam Nogueras Camero;;;
;Girona;2;Jaume Alonso-Cuevillas i Sayrol;;;
;;;Sergi Miquel i Valentí;;;
;Lleida;1;Jordi Turull i Negre;;;
;Tarragona;1;Josep Rull i Andreu;;;
EAJ-PNV - EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO;;;;@eajpnv;;
;Araba / Áava;1;Mikel Legarda Uriarte;;;
;Bizkaia;3;Aitor Esteban Bravo;;;
;;;Idoia Sagastizabal Unzetabarrenetxea;;;
;;;Josune Gorospe Elezkano;;;
;Gipuzkoa;2;Joseba Andoni Agirretxea Urresti;;;
;;;Iñigo Barandiaran Benito;;;
EH Bildu - EUSKAL HERRIA BILDU;;;;@ehbildu;;
;Araba / Áava;1;Iñaki Ruiz de Pinedo Undiano;;;
;Bizkaia;1;Oskar Matute García de Jalón;;;
;Gipuzkoa;2;Mertxe Aizpurua Arzallus;;;
;;;Jon Iñarritu Garcia;;;
PODEMOS-EU- - EN COMÚN-UNIDAS PODEMOS;;;;;;
;A Coruña;1;Antón Gómez-Reino Varela;;;
